,,c0,c0,c0,c0,c0,h0,h0,h0,h0,h0,h1,h1,h1,h1,h1,h2,h2,h2,h2,h2,op,op,op,op,op,all,all,all,all,all
error_type,,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3,-1,0,1,2,3
model_seed,error_profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920,LIM_20-6404,0.3409,0.9893,0.3081,0.9888,0.9893,0.9841,0.9896,0.9854,0.9885,0.9896,0.9885,0.9904,0.9901,0.9901,0.9893,0.8688,0.9898,0.863,0.9891,0.9906,0.9753,0.9891,0.9708,0.9862,0.9878,0.2779,0.9896,0.2245,0.9857,0.9883
2920,LIM_20-9387,0.2617,0.9891,0.2714,0.9885,0.9896,0.9844,0.9891,0.9862,0.9896,0.9896,0.9898,0.9896,0.9893,0.9891,0.9883,0.8674,0.9893,0.8523,0.9901,0.9896,0.9695,0.9888,0.9685,0.9865,0.9862,0.1865,0.9888,0.1924,0.9872,0.9857
2920,LIM_50-2188,0.194,0.9891,0.2016,0.9898,0.9898,0.9719,0.9901,0.9768,0.9904,0.9898,0.9896,0.9885,0.9898,0.9911,0.9893,0.7229,0.9904,0.7169,0.9904,0.9888,0.9477,0.9891,0.9432,0.9805,0.9784,0.1318,0.9896,0.1221,0.9794,0.9758
2920,LIM_50-3987,0.2167,0.9901,0.219,0.9891,0.9896,0.9703,0.9893,0.9695,0.9888,0.9901,0.9888,0.9885,0.9891,0.9883,0.9893,0.737,0.9909,0.7299,0.9909,0.9883,0.951,0.9883,0.9495,0.9786,0.9781,0.124,0.9883,0.1268,0.9758,0.9766
2920,LIM_50-4981,0.2185,0.9891,0.2339,0.9891,0.9896,0.9729,0.9898,0.9784,0.9896,0.9891,0.988,0.9901,0.9893,0.9888,0.9893,0.7042,0.9896,0.7052,0.9883,0.9896,0.9602,0.9888,0.9602,0.9828,0.9828,0.1438,0.9888,0.1542,0.9799,0.9815
2920,LIM_50-6404,0.2102,0.9898,0.2284,0.9898,0.9891,0.9771,0.9906,0.9745,0.9891,0.9898,0.9898,0.9893,0.9898,0.9883,0.9901,0.7182,0.9901,0.7174,0.9898,0.9898,0.9513,0.9893,0.9477,0.9802,0.9807,0.1396,0.9901,0.1456,0.9786,0.9799
2920,LIM_50-9387,0.1911,0.9888,0.1896,0.9893,0.9898,0.9747,0.9891,0.976,0.9898,0.9898,0.9883,0.9898,0.9885,0.9898,0.9904,0.718,0.9893,0.7148,0.9893,0.9888,0.931,0.9888,0.9471,0.9755,0.9805,0.1242,0.9891,0.1281,0.974,0.9799
2920,LIM_99-2188,0.1883,0.9891,0.1745,0.9891,0.9893,0.9417,0.9896,0.943,0.9901,0.9898,0.9859,0.9901,0.9865,0.9891,0.9898,0.5716,0.9885,0.574,0.9867,0.9898,0.9052,0.9891,0.9143,0.975,0.9716,0.1169,0.9885,0.112,0.9654,0.9659
2920,LIM_99-3987,0.2154,0.9904,0.2185,0.9891,0.9901,0.9372,0.9898,0.9469,0.9896,0.9885,0.9891,0.9883,0.9883,0.9901,0.988,0.5617,0.9888,0.5776,0.988,0.9867,0.9026,0.9883,0.9026,0.9669,0.9674,0.118,0.987,0.1174,0.9612,0.9563
2920,LIM_99-4981,0.2026,0.9898,0.2055,0.9906,0.9896,0.9305,0.9904,0.9417,0.9901,0.9909,0.9872,0.9878,0.9875,0.9891,0.9901,0.5406,0.9891,0.5469,0.987,0.9891,0.9365,0.9891,0.9372,0.9771,0.9799,0.1227,0.9859,0.1169,0.9701,0.9745
